number,title
WHA13.28,"Effective working budget and budget level for 1961
﻿"
WHA13.14,"Place of meeting of the fourteenth World Health Assembly
﻿"
WHA13.15,"Publications in Russian
﻿"
WHA13.29,"Assistance to new members and associate members in 1961
﻿"
WHA13.17,"Assessment of the Republic of Guinea for 1960
﻿"
WHA13.16,"Assessment for 1960 and 1961 of new members (‎Cameroun, Kuwait, the Republic of Togo)‎ and associate members
﻿"
WHA13.12,"Admission of new associate members: Mali Federation
﻿"
WHA13.13,"Financial report of WHO for 1959 and report of the external auditor
﻿"
WHA13.8,"Admission of new associate members: Gabon Republic
﻿"
WHA13.11,"Admission of new members: Kuwait
﻿"
WHA13.39,"Renewal of the contract of the Director-General
﻿"
WHA13.38,"Appropriation resolution for the financial year 1961
﻿"
WHA13.10,"Admission of new associate members: Republic of the Niger
 ﻿"
WHA13.9,"Admission of new associate members: Republic of the Upper Volta
﻿"
WHA13.63,"UNICEF/WHO jointly assisted activities
﻿"
WHA13.62,"Extension of the agreement with the United Nations Relief and Works Agency for Palestine refugees in the Near East
﻿"
WHA13.48,"Relations with the League of Arab States
﻿"
WHA13.60,"Organizational study on publications
﻿"
WHA13.61,"Future organizational study to be made by the Executive Board
﻿"
WHA13.49,"Procedure for the review by the Executive Board of report of expert committees
﻿"
WHA13.65,"World Health Year
﻿"
WHA13.59,"Additional regulations of 19 May 1960 amending the International Sanitary Regulations with respect to the health part of the Aircraft General Declaration
﻿"
WHA13.58,"Committee on International Quarantine: seventh report
﻿"
WHA13.64,"Intensified programme of medical research
﻿"
WHA13.66,"Decisions of the United Nations, specialized agencies and the International Atomic Energy Agency affecting WHO's activities
﻿"
WHA13.67,"WHO's activities in promotion of health in connexion with the resolution concerning general and complete disarmament adopted by the United Nations General Assembly at its fourteenth session
﻿"
WHA14.1,"Increase in the membership of the Executive Board
﻿"
WHA14.2,"Development of the malaria eradication programme
﻿"
WHA14.48,"Assessment for 1961 and 1962 of the Islamic Republic of Mauritania
﻿"
WHA14.49,"Appropriation resolution for the financial year: Islamic Republic of Mauritania, Ruanda-Urundi and Tanganyika
﻿"
WHA14.3,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA14.59,"Resolution of thanks
﻿"
WHA14.7,"Assessment for 1961 of new members
﻿"
WHA14.6,"Assessment for 1960 and 1961 of new members
﻿"
WHA14.58,"Declaration concerning the granting of independence in colonial countries and peoples and the tasks of the World Health Organization
﻿"
WHA14.4,"Amendments to the staff rules
﻿"
WHA14.5,"Travel expenses and allowances for members of the Executive Board
﻿"
WHA14.14,"Malaria eradication programme: administrative and operational costs
﻿"
WHA14.28,"Decisions of the United Nations, specialized agencies and IAEA affecting WHO's activities on administrative and financial questions
﻿"
WHA14.29,"Prior consultation with the United Nations and its agencies on matters of mutual concern
﻿"
WHA14.15,"Financing of the malaria eradication programme
﻿"
WHA14.17,"Effective working budget and budget level for 1962
﻿"
WHA14.16,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA14.12,"Use of Russian as a working language in the Regional Organization for Europe
﻿"
WHA14.13,"Supplementary budget estimates for 1961
﻿"
WHA14.39,"Priorities in programme
﻿"
WHA14.11,"Headquarters accommodation: reimbursement by the United Nations
﻿"
WHA14.10,"Headquarters accommodation: status of the building fund
﻿"
WHA14.38,"Malaria eradication programme
﻿"
WHA14.21,"Amendments to the financial rules
﻿"
WHA14.35,"Universality of WHO membership
﻿"
WHA14.34,"Annual report of the Director-General for 1960: administrative and financial aspects
﻿"
WHA14.20,"Admission of new members: Islamic Republic of Mauritania
﻿"
WHA14.36,"Annual report of the Director-General for 1960: programme aspects
﻿"
WHA14.22,"Provision of emergency supplies to member states
﻿"
WHA14.23,"Voluntary fund for health promotion: report on contributions received
﻿"
WHA14.37,"Continued assistance to newly independent states
﻿"
WHA14.33,"Place of meeting of the fifteenth World Health Assembly
﻿"
WHA14.27,"Malaria eradication special account
﻿"
WHA14.26,"Report on assistance to the Republic of the Congo (‎Leopoldville)‎
﻿"
WHA14.32,"Currency of payment of contributions
﻿"
WHA14.18,"Admission of new associate members: Ruanda-Urundi
﻿"
WHA14.24,"Adoption of a WHO flag
﻿"
WHA14.30,"Annual report of the United Nations Joint Staff Pension Board for 1959
﻿"
WHA14.31,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA14.25,"Accommodation for the Regional Office for South-East Asia
﻿"
WHA14.19,"Admission of new associate members: Tanganyika
﻿"
WHA14.42,"Activities jointly assisted by UNICEF and WHO
﻿"
WHA14.56,"Radiation health, including protection of mankind from ionizing radiation hazards, whatsoever their source
﻿"
WHA14.8,"Scale of assessment for 1962
﻿"
WHA14.9,"Headquarters accommodation: progress report
﻿"
WHA14.57,"Reports of the Executive Board on its twenty-sixth and twenty-seventh sessions
﻿"
WHA14.43,"Appropriation resolution for the financial year 1962
﻿"
WHA14.55,"Programme appraisals
﻿"
WHA14.41,"Committee on International Quarantine: eighth report
﻿"
WHA14.40,"Smallpox eradication programme
﻿"
WHA14.54,"International encouragement of scientific research into the control of cancerous diseases
﻿"
WHA14.50,"Agreement with the International Office of Epizootics
﻿"
WHA14.44,"Interpretation of criteria to determine eligibility for credits towards the payment of contributions for financing malaria programmes
﻿"
WHA14.45,"Rights and obligations of associate members having attained independence
﻿"
WHA14.51,"Possibilities of reducing the length of World Health Assemblies
﻿"
WHA14.47,"Relations with the League of Arab States
﻿"
WHA14.53,"Decisions of the United Nations, specialized agencies and IAEA affecting WHO's activities on program matters
﻿"
WHA14.52,"Development of education in Africa: co-operation with UNESCO
﻿"
WHA14.46,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA15.37,"Committee on International Quarantine: ninth report
﻿"
WHA15.23,"Effective working budget and budget level for 1963
﻿"
WHA15.22,"Continued assistance to newly independent states
﻿"
WHA15.36,"Periodicity of meetings of the Committee on International Quarantine
﻿"
WHA15.20,"Development of the malaria eradicaton programme: acceleration of the programme from continued voluntary contributions
﻿"
WHA15.34,"Malaria eradication special account
﻿"
WHA15.35,"Criteria for determining eligibility of credits towards the payment of contributions for financing malaria programmes
﻿"
WHA15.21,"Health problems of seafarers
﻿"
WHA15.25,"Admission of new associate members: Jamaica
﻿"
WHA15.31,"Amendments to staff rules
﻿"
WHA15.19,"Report on development of the malaria eradication programme
﻿"
WHA15.18,"Report on assistance to the Republic of the Congo (‎Leopoldville)‎
﻿"
WHA15.30,"Advances from the working capital fund for provision of emergency supplies to member states
﻿"
WHA15.24,"Application for admission to membership: Sultanate of Muscat and Oman
﻿"
WHA15.32,"Annual report of the United Nations Joint Staff Pension Board for 1960
﻿"
WHA15.26,"Admission of new associate members: Uganda
﻿"
WHA15.27,"Communication from the government of Argentina concerning the holding of a World Health Assembly in Argentina
﻿"
WHA15.33,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA15.2,"Award of the Léon Barnard Foundation medal and prize
﻿"
WHA15.54,"Developments in activities assisted jointly with UNICEF
﻿"
WHA15.40,"Organizatonal study on co-ordination with the United Nations and the specialized agencies
﻿"
WHA15.41,"Clinical and pharmacological evaluation of drugs
﻿"
WHA15.55,"Decisions of the United Nations, specialized agencies and IAEA affecting WHO's activities: programme matters
﻿"
WHA15.3,"United Nations prizes for the international encouragement of scientific research into the control of cancerous diseases
﻿"
WHA15.1,"Terms of reference of the main committees
﻿"
WHA15.43,"Second report on the world health situation
﻿"
WHA15.57,"United Nations Development Decade
﻿"
WHA15.56,"World Food Programme
﻿"
WHA15.42,"Appropriation resolution for the financial year 1963
﻿"
WHA15.4,"Contract of the Director-General: salary and allowances
﻿"
WHA15.46,"Appropriation resolutions for the financial years 1962 and 1963: Jamaica and Uganda
﻿"
WHA15.52,"Medical research programme for 1958-1961
﻿"
WHA15.53,"Smallpox eradication programme
﻿"
WHA15.47,"Malaria eradication postage stamps
﻿"
WHA15.5,"Salaries of the Deputy-General, Assistant Directors-General and Regional Directors
﻿"
WHA15.7,"Financial report on the accounts of WHO for the year 1960 and report of the external auditor
﻿"
WHA15.51,"Role of the physician in the preservation and promotion of peace
﻿"
WHA15.45,"Assessment for 1962 and 1963 of Western Samoa
﻿"
WHA15.44,"Communication from the International Fertility Association
﻿"
WHA15.50,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA15.6,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA15.49,"Decisions of the United Nations, specialized agencies and IAEA affecting WHO's activities: administrative and financial matters
﻿"
WHA15.60,"Reports of the Executive Board on its twenty-eighth and twenty-ninth sessions
﻿"
WHA15.48,"Assignment of Mongolian People's Republic to a region
﻿"
WHA15.8,"Financial report on the accounts of WHO for the year 1961 and report of the external auditor
﻿"
WHA15.9,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA15.58,"Organizatonal study: methods of planning and execution of projects
﻿"
WHA15.59,"Future organizational studies by the Executive Board
﻿"
WHA15.16,"Admission of new members: Western Samoa
﻿"
WHA15.17,"Annual report of the Director-General for 1961: programme aspects
﻿"
WHA15.29,"Headquarters accommodation: progress report
﻿"
WHA15.15,"Housing of staff of the Regional Office for Africa
﻿"
WHA15.14,"Accommodation for the Regional Office for Africa
﻿"
WHA15.28,"Selection of the country in which the sixteenth World Health Assembly will be held
﻿"
WHA15.10,"Supplementary budget estimates for 1962
﻿"
WHA15.38,"Committee on International Quarantine: tenth report
﻿"
WHA15.39,"Priorities in programme
﻿"
WHA15.11,"Assessment of new members for 1961 and 1962
﻿"
WHA15.13,"Scale of assessment for 1963
﻿"
WHA15.12,"Addition to schedule A to the appropriation resolution for the financial year 1962
﻿"
WHA16.3,"Admission of new associate members: Mauritius
﻿"
WHA16.2,"Contract of the Director-General
﻿"
WHA16.1,"Appointment of the Director-General
﻿"
WHA16.5,"Financial report on the accounts of WHO for the year 1962 and report of the external auditor
﻿"
WHA16.4,"Admission of new associate members: Kenya
﻿"
WHA16.6,"Supplementary budget estimates for 1963
﻿"
WHA16.7,"Assessments of new members for 1962 and 1963
﻿"
WHA16.11,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA16.39,"Decisions of the United Nations, specialized agencies and IAEA affecting WHO's activities: programme matters
﻿"
WHA16.38,"Clinical and pharmacological evaluation of drugs: standards of drugs
﻿"
WHA16.10,"Scale of assessment for 1964
﻿"
WHA16.12,"Annual report of the Director-General for 1962
﻿"
WHA16.13,"Effective working budget and budget level for 1964
﻿"
WHA16.17,"Malaria eradication special account
﻿"
WHA16.16,"Selection of the country in which the seventeenth World Health Assembly will be held
﻿"
WHA16.28,"Appropriation resolution for the financial year 1964
﻿"
WHA16.14,"Appointment of the external auditor
﻿"
WHA16.15,"Amendments to the staff rules
﻿"
WHA16.29,"Organizational study on measures for providing effective assistance in medical education and training to meet priority needs of the newly independent and emerging countries
﻿"
WHA16.24,"Developments in activities assisted jointly with UNICEF
﻿"
WHA16.30,"Organizational study on methods of planning and execution of projects
﻿"
WHA16.18,"Malaria eradication postage stamps
﻿"
WHA16.19,"Annual report of the United Nations Joint Staff Pension Board for 1961
﻿"
WHA16.31,"Continued assistance to newly independent states
﻿"
WHA16.25,"Television influence on youth
﻿"
WHA16.33,"Decisions of the United Nations, specialized agencies and IAEA affecting WHO's activities: conference arrangements
﻿"
WHA16.27,"Voluntary fund for health promotion: community water supply
﻿"
WHA16.26,"Voluntary fund for health promotion: medical research
﻿"
WHA16.32,"Decisions of the United Nations, specialized agencies and IAEA affecting WHO's activities: administrative, budgetary and financial matters: inter-organization machinery for matters of pay and allowances
﻿"
WHA16.36,"Clinical and pharmacological evaluation of drugs
﻿"
WHA16.22,"Headquarters accommodation: progress report
﻿"
WHA16.23,"Report on the development of the malaria eradication programme
﻿"
WHA16.37,"Smallpox eradication programme
﻿"
WHA16.21,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA16.35,"Committee on International Quarantine: eleventh report
﻿"
WHA16.34,"Additonal regulations of 23 May 1963 amending the International Sanitary Regulations, in particular with respect to notifications
﻿"
WHA16.20,"Status of collection of annual contributions and advances to the working capital fund
﻿"
WHA16.9,"Accommodation for the Regional Office for Africa
﻿"
WHA16.44,"Reports of the Executive Board on its thirtieth and thirty-first sessions
﻿"
WHA16.8,"Addition to schedule A to the appropriation resolutions for the financial years 1962 and 1963
﻿"
WHA16.41,"Extension of agreement with UNRWA
﻿"
WHA16.40,"United Nations Development Decade
﻿"
WHA16.42,"Joint FAO/WHO programme on food standards (‎Codex Alimentarius)‎
﻿"
WHA16.43,"Meetings of the Regional Committee for Africa
﻿"
WHA17.32,"Decisions of the United Nations, specialized agencies and the International Atomic Energy Agency affecting WHO's activities: administrative, budgetary and financial matters
﻿"
WHA17.26,"Legislation to govern malaria eradication operations under the regular budget
﻿"
WHA17.27,"Headquarters accommodation
﻿"
WHA17.33,"Members in arrears in the payment of their contributions to an extent which may invoke article 7 of the Constitution
﻿"
WHA17.19,"Programme and budget estimates for 1965: voluntary fund for health promotion
﻿"
WHA17.25,"Placement of the malaria eradication special account in the voluntary fund for health promotion
﻿"
WHA17.31,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA17.30,"Annual report of the United Nations Joint Staff Pension Board for 1962
﻿"
WHA17.24,"Malaria eradication special account
﻿"
WHA17.18,"Appropriation resolution for the financial year 1965
﻿"
WHA17.20,"Large-scale development programmes
﻿"
WHA17.34,"Accommodation for the Regional Office for Africa
﻿"
WHA17.35,"Supplement to the second report on the world health situation
﻿"
WHA17.21,"Presentation of future programmes and budget estimates
﻿"
WHA17.37,"Medical research programme: proposal for the establishment of a world health research centre
﻿"
WHA17.23,"Advances from the capital working fund for provision of emergency supplies to member states
﻿"
WHA17.22,"Report on the development of the malaria eradication programme
﻿"
WHA17.36,"The medical research programme of WHO, 1958-1963
﻿"
WHA17.51,"Reports of the Executive Board on its thirty-second and thirty-third sessions
﻿"
WHA17.45,"Decisions of the United Nations, specialized agencies and the International Atomic Energy Agency affecting WHO's activities
﻿"
WHA17.1,"Suspension of rules 5(‎c)‎ and 93(‎c)‎ of the rules of procedue of the Health Assembly for the duration of the seventeenth World Health Assembly
﻿"
WHA17.44,"Joint FAO/WHO programme on food standards (‎Codex Alimentarius)‎
﻿"
WHA17.50,"Meetings of the Regional Committee for Africa
﻿"
WHA17.46,"Decisions of the United Nations, specialized agencies and the International Atomic Energy Agency affecting WHO's activities: programme matters
﻿"
WHA17.3,"Award of the Léon Bernard Foundation medal and prize
﻿"
WHA17.2,"Report on an absentee member of the Executive Board
﻿"
WHA17.47,"Co-ordination with the International Atomic Energy Agency
﻿"
WHA17.43,"Smallpox eradication programme
﻿"
WHA17.6,"Admission of Malta as an associate member
﻿"
WHA17.7,"Admission of Qatar as an associate member
﻿"
WHA17.42,"Committee on International Quarantine: twelfth report
﻿"
WHA17.40,"Community water supply programme
﻿"
WHA17.5,"Admission of Nyasaland as an associate member
﻿"
WHA17.4,"Admission of Northern Rhodesia as an associate member
﻿"
WHA17.41,"Standards of drugs
﻿"
WHA17.9,"Supplementary budget estimates for 1964
﻿"
WHA17.8,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA17.49,"Participation of WHO in a world research agency for cancer
﻿"
WHA17.48,"Future organizational study by the Executive Board
﻿"
WHA17.13,"Addition to schedule A to the appropriation resolution for the financial year 1964
﻿"
WHA17.12,"Assessments of new members for 1964
﻿"
WHA17.38,"General programme of work covering a specific period
﻿"
WHA17.10,"Contributions of Algeria, Burundi and Rwanda for 1962
﻿"
WHA17.11,"Adjustment in the scales of assessment for 1963 and 1964 (‎Czechoslovakia and Hungary)‎
﻿"
WHA17.39,"Clinical and pharmacological evaluation of drugs
﻿"
WHA17.15,"Effective working budget and budget level for 1965
﻿"
WHA17.29,"Amendments to the staff rules
﻿"
WHA17.28,"Selection of the country in which the eighteenth World Health Assembly will be held
﻿"
WHA17.14,"Scale of assessment for 1965
﻿"
WHA17.16,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA17.17,"Annual report of the Director-General for 1963
﻿"
WHA18.48,"Amendments to article 7 of the Constitution
﻿"
WHA18.49,"Programme activities in the health aspects of world population which might be developed by WHO
﻿"
WHA18.9,"Financial report on the accounts of WHO for the year 1964 and report of the external auditor
﻿"
WHA18.8,"Financial report on the accounts of WHO for the year 1963 and report of the external auditor
﻿"
WHA18.28,"Headquarters accommodation: financing
﻿"
WHA18.14,"Scale of assessment for and amount of the working capital fund
﻿"
WHA18.15,"Adjustment in the scales of assessment for 1964 and 1965: United Republic of Tanzania
﻿"
WHA18.29,"Inaugural ceremony for the new headquarters building
﻿"
WHA18.17,"Scale of assessment for 1966
﻿"
WHA18.16,"Assessment of new members for 1965
﻿"
WHA18.12,"Accommodation for the Regional Office for Africa
﻿"
WHA18.13,"Amendments to the financial regulations
﻿"
WHA18.11,"Supplementary budget estimates for 1965
﻿"
WHA18.39,"Proposal for the establishment of a revolving fund for teaching and laboratory equipment for medical education and training
﻿"
WHA18.38,"Smallpox eradication programme
﻿"
WHA18.10,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA18.35,"Appropriation resolution for the financial year 1966
﻿"
WHA18.21,"Members in arrears in the payment of their contributions to an extent which may invoke article 7 of the Constitution
﻿"
WHA18.20,"Annual report of the Director-General for 1964
﻿"
WHA18.34,"Programme and budget estimates for 1966: voluntary fund for health promotion
﻿"
WHA18.22,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA18.36,"Quality control of pharmaceutical preparations
﻿"
WHA18.37,"Organizational study of the Executive Board: methods of planning and execution of projects
﻿"
WHA18.23,"WHO participation in the Expanded Programme of Technical Assistance
﻿"
WHA18.27,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA18.33,"Fourth general programme of work covering a specific period: 1967-1971
﻿"
WHA18.32,"Decisions of the United Nations, specialized agencies and the International Atomic Energy Agency affecting WHO's activities: administrative, budgetary and financial matters
﻿"
WHA18.26,"Annual report of the United Nations Joint Staff Pension Board for 1963
﻿"
WHA18.30,"Headquarters accommodation: voluntary contributions from governments
﻿"
WHA18.24,"Extension of the agreement with the United Nations Relief and Works Agency for Palestine Refugees in the Near East
﻿"
WHA18.18,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA18.19,"Effective working budget and budget level for 1966
﻿"
WHA18.25,"Selection of the country in which the nineteenth World Health Assembly will be held
﻿"
WHA18.31,"Voluntary fund for health promotion: world health foundations
﻿"
WHA18.5,"Additional regulations of 12 May 1965 amending the International Sanitary Regulations, in particilar with respect to disinsecting of ships and aircraft, and appendices 3 and 4 (‎forms of International Certificates of Vaccination or Revaccination against yellow fever and against smallpox)‎
﻿"
WHA18.42,"Adverse drug reaction monitoring system
﻿"
WHA18.43,"Proposal for the establishment of a world health research centre
﻿"
WHA18.4,"Committee on International Quarantine: thirteenth report
﻿"
WHA18.6,"Joint FAO/WHO food standards programme (‎Codex Alimentarius)‎
﻿"
WHA18.41,"Reports of the Executive Board on its thirty-fourth and thirty-fifth sessions
﻿"
WHA18.40,"Report on operative paragraph 2 of resolutions WHA17.50
﻿"
WHA18.7,"International standards and units for biological standardization
﻿"
WHA18.3,"Development of the malaria eradication programme
﻿"
WHA18.44,"Establishment of an Internation Agency for Research on Cancer
﻿"
WHA18.45,"Decisions of the United Nations, specialized agencies and the International Atomic Energy Agency affecting WHO's activities: administrative, programme matters
﻿"
WHA18.2,"Award of a prize for research work on mental subnormality
﻿"
WHA18.47,"Control measures for certain dependency-producting drugs
﻿"
WHA18.46,"Single Convention on Narcotic Drugs, 1961
﻿"
WHA18.1,"Provisional admendments to the rules of procedure of the World Health Assembly
﻿"
WHA19.23,"Reports of the Executive Board on its thirty-sixth and thirty-seventh sessions
﻿"
WHA19.37,"Rehabilitation
﻿"
WHA19.36,"Prevention of traffic accidents
﻿"
WHA19.22,"Annual report of the Director-General for 1965
﻿"
WHA19.34,"Extension of WHO activities in research
﻿"
WHA19.20,"Establishment and operation of world health foundations
﻿"
WHA19.21,"Establishment of a Dr A.T. Shousha Foundation
﻿"
WHA19.35,"International monitoring of adverse reactions to drugs
﻿"
WHA19.19,"Appointment of the external auditor
﻿"
WHA19.31,"Resolution AFR/RC15/R2 adopted by the Regional Committee for Africa at its fifteenth session on 9 September 1965
﻿"
WHA19.25,"Extension of the agreement with the United Nations Relief and Works Agency for Palestine Refugees in the Near East
﻿"
WHA19.24,"International Agency for Research on Cancer: report concerning host agreement between the government of France and WHO
﻿"
WHA19.30,"Decisions of the United Nations, the specialized agencies and the International Atomic Energy Agency affecting WHO's activities: administrative, budgetary and financial matters
﻿"
WHA19.18,"Expression of appreciation to retiring external auditor
﻿"
WHA19.26,"Annual report of the United Nations Joint Staff Pension Board for 1964
﻿"
WHA19.32,"Headquarters accommodation: report on financing
﻿"
WHA19.33,"Headquarters accommodation: voluntary contributions from governments
﻿"
WHA19.27,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA19.40,"Programme and budget estimates for 1967: voluntary fund for health promotion
﻿"
WHA19.54,"Decisions of the United Nations, the specialized agencies and the International Atomic Energy Agency affecting WHO's activities: programme matters
﻿"
WHA19.41,"Appropriation resolution for the financial year 1967
﻿"
WHA19.43,"Programme activities in the health aspects of world population which might be developed by WHO
﻿"
WHA19.42,"Form of presentation of the programme and budget estimates
﻿"
WHA19.52,"Third report on the world health situation
﻿"
WHA19.46,"Single Convention on Narcotic Drugs, 1961
﻿"
WHA19.9,"Place of meeting of the twenty-second World Health Assembly
﻿"
WHA19.8,"Supplementary budget estimates for 1966
﻿"
WHA19.47,"Quality control of pharmaceutical preparations
﻿"
WHA19.53,"Study of the criteria for assessing the equivalence of medical degrees in different countries
﻿"
WHA19.45,"Revision of WHO nomenclature regulations
﻿"
WHA19.51,"Reports of expert committees
﻿"
WHA19.50,"Community water supply programme
﻿"
WHA19.44,"Eighth revision of the International Classification of Diseases
﻿"
WHA19.49,"International Agency for Research on Cancer
﻿"
WHA19.6,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA19.7,"Establishment of a revolving fund for teaching and laboratory equipment for medical education and training
﻿"
WHA19.48,"Study of the nature and extent of health problems of seafarers and of the health services available to them
﻿"
WHA19.5,"Financial report on the accounts of WHO for the year 1965, report of the external auditor, and comments thereon of the Executive Board
﻿"
WHA19.4,"Salary of the Director-General
﻿"
WHA19.1,"Inauguration of the Headquarters building
﻿"
WHA19.3,"Salaries of staff in ungraded posts
﻿"
WHA19.2,"Award of the Léon Bernard Foundation medal and prize
﻿"
WHA19.16,"Smallpox eradication programme
﻿"
WHA19.17,"Advances from the working capital fund for provision of emergency supplies to member states
﻿"
WHA19.15,"Effective working budget and budget level for 1967
﻿"
WHA19.29,"Members in arrears in the payment of their contributions to an extent which may invoke article 7 of the Constitution
﻿"
WHA19.28,"Selection of the country in which the twentieth World Health Assembly will be held
﻿"
WHA19.14,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA19.38,"Research in cardiovascular diseases
﻿"
WHA19.10,"Assessment of new members: 1965 and 1966
﻿"
WHA19.11,"Scale of assessment for 1967
﻿"
WHA19.39,"Effects of atomic radiation
﻿"
WHA19.13,"Malaria eradication programme
﻿"
WHA19.12,"Travel standards
﻿"
WHA20.49,"Review of the organizational study on co-ordination with the United Nations and the specialized agencies
﻿"
WHA20.48,"Organizational study on co-ordination at the national level in relation to the technical co-operation field programme of the Organization
﻿"
WHA20.10,"Adjustment in the scale of assessment for 1966: Malaysia
﻿"
WHA20.38,"Implementation of resolution WHA19.31
﻿"
WHA20.39,"Selection of the country in which the twenty-first World Health Assembly will be held
﻿"
WHA20.11,"Headquarters accommodation: report on financing
﻿"
WHA20.8,"Contributions of South Africa
﻿"
WHA20.13,"Assessment of new members: 1966 and 1967
﻿"
WHA20.12,"Supplementary budget estimates for 1967
﻿"
WHA20.9,"Accommodation for the Regional Office for South-East Asia
﻿"
WHA20.16,"Elecction of members entitled to designate a person to serve on the Executive Board
﻿"
WHA20.17,"Effective working budget and budget level for 1968
﻿"
WHA20.29,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA20.15,"Smallpox eradication programme
﻿"
WHA20.14,"Malaria eradication programme
﻿"
WHA20.28,"Annual report of the United Nations Joint Staff Pension Board for 1965
﻿"
WHA20.2,"Conduct of the general discussion at future Health Assemblies
﻿"
WHA20.31,"Members in arrears in the payment of their contributions to an extent which may invoke article 7 of the Constitution
﻿"
WHA20.25,"Agreement between the government of France and WHO concerning the legal status, privileges and immunities of the International Agency for Research on Cancer
﻿"
WHA20.19,"Compendium of recommendations, definitions and standards relating to health statistics
﻿"
WHA20.18,"WHO Nomenclature Regulations 1967
﻿"
WHA20.24,"Advances from the working capital fund for provision of emergency supplies to member states
﻿"
WHA20.30,"Further amendments to the rules of procedure of the World Health Assembly
﻿"
WHA20.3,"Procedure for discussing in the World Health Assembly matters relating to the programme and budget of the Organization
﻿"
WHA20.1,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA20.26,"Travel standards
﻿"
WHA20.32,"Programme and budget estimates for 1968: voluntary fund for health promotion
﻿"
WHA20.33,"Appropriation resolution for the financial year 1968
﻿"
WHA20.27,"Joint FAO/WHO food standards programme: amendments to the statutes of the Codex Almentarius Commission
﻿"
WHA20.4,"Award of the Léon Bernard Foundation medal and prize
﻿"
WHA20.23,"Future requirements for office accommodation at Headquarters
﻿"
WHA20.37,"Voluntary fund for health promotion: progress report on world health foundations
﻿"
WHA20.36,"Amendments to articles 24 and 25 of the Constitution
﻿"
WHA20.22,"Decisions of the United Nations, the specialized agencies and IAEA affecting WHO's activities: administrative, budgetary and financial matters
﻿"
WHA20.5,"Annual report of the Director-General for 1966
﻿"
WHA20.7,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA20.34,"Quality control of pharmaceutical preparations
﻿"
WHA20.20,"Scale of assessment for 1968
﻿"
WHA20.21,"Extension of the use of the Russian and Spanish languages
﻿"
WHA20.35,"Pharmaceutical advertising
﻿"
WHA20.6,"Financial report on the accounts of WHO for the year 1966, report of the financial auditor, and comments thereon of the Executive Board
﻿"
WHA20.52,"Decisions of the United Nations, the specialized agencies and IAEA affecting WHO's activities: programme matters
﻿"
WHA20.46,"Study of the criteria for assessing the equivalence of medical degrees in different countries
﻿"
WHA20.47,"Epidemiological situation in Viet-Nam
﻿"
WHA20.53,"Health and economic development
﻿"
WHA20.45,"International Agency for Research on Cancer
﻿"
WHA20.51,"WHO pilot research project for international monitoring of adverse reaction to drugs
﻿"
WHA20.50,"Policy governing assistance to the developing countries
﻿"
WHA20.44,"Health problems of seafarers and health services available to them
﻿"
WHA20.40,"Twentieth anniversary of the World Health Organization
﻿"
WHA20.54,"Resolution 2162 (‎XXI)‎ of the General Assembly of the United Nations: question of general and complete disarmament
﻿"
WHA20.55,"Reports of the Executive Board on its thirty-eighth and thirty-ninth sessions
﻿"
WHA20.41,"Health aspects of population dynamics
﻿"
WHA20.43,"Control measures for certain dependence-producing drugs
﻿"
WHA20.42,"Control measures for LSD and related substances
﻿"
WHA20.56,"General order of magnitude of the budget for 1969
﻿"
WHA21.27,"Headquarters accommodation: future requirements
﻿"
WHA21.33,"Co-ordination with the United Nations, the specialized agencies and the International Atomic Energy Agency: administrative, budgetary and financial matters
﻿"
WHA21.8,"Per diem rate for members of the Executive Board
﻿"
WHA21.9,"Assessments for 1967 and 1968 of new members and associate members
﻿"
WHA21.32,"Recommendations of the ad hoc committee of experts to examine the finances of the United Nations and the specialized agencies: progress report on implementation
﻿"
WHA21.26,"Advances from the working capital fund for the provision of emergency supplies to member states
﻿"
WHA21.18,"Appropriation resolution for the financial year 1969
﻿"
WHA21.30,"Annual report of the United Nations Joint Staff Pension Board for 1966
﻿"
WHA21.24,"Recognition of secretariat services
﻿"
WHA21.25,"Advances from the working capital fund to meet unforeseen or extraordinary expenses
﻿"
